Name,IATA,countryName,activeStatus
Airblue,ED,Pakistan,Y
Air Berlin,AB,Germany,Y
Air Contractors,AG,Ireland,N
Air India Limited,AI,India,Y
Air Bourbon,ZB,Reunion,Y
Air Atlanta Icelandic,CC,Iceland,Y
Air Srpska,RB,Bosnia and Herzegovina,N
Air Tahiti Nui,TN,France,Y
Aero Services Executive,W4,France,N
Arkia Israel Airlines,IZ,Israel,Y
Air Jamaica,JM,Jamaica,Y
Air One,AP,Italy,Y
Air Sahara,S2,India,Y
Air Malta,KM,Malta,Y
Amerijet International,M6,United States,N
Air Japan,NQ,Japan,Y
Air Kiribati,4A,Kiribati,Y
Air Nippon Network Co. Ltd.,EH,Japan,N
America West Airlines,HP,United States,Y
Air Wisconsin,ZW,United States,Y
Tatarstan Airlines,U9,Russia,Y
Air Libert,VD,France,Y
Air Lithuania,TT,Lithuania,N
Air Malawi,QM,Malawi,Y
Air Sicilia,BM,Italy,Y
Air Macau,NX,Macao,Y
Air Midwest,ZV,United States,N
Air Seychelles,HM,Seychelles,Y
AeroMéxico,AM,Mexico,Y
All Nippon Airways,NH,Japan,Y
Air Nostrum,YW,Spain,Y
Air Niugini,PX,Papua New Guinea,Y
Air Arabia,G9,United Arab Emirates,Y
Air Canada,AC,Canada,Y
Air Baltic,BT,Latvia,Y
Air Nippon,EL,Japan,Y
Airnorth,TL,Australia,Y
Air North Charter - Canada,4N,Canada,Y
AOM French Airlines,IW,France,N
Air New Zealand,NZ,New Zealand,Y
AVCOM,J6,Russia,N
Aero VIP,2D,Argentina,N
Air Vegas,6V,United States,N
Alitalia Express,XM,Italy,Y
Asia Overnight Express,OE,Philippines,N
Aero Flight,GV,Germany,Y
Arrow Air,JW,United States,Y
Arik Air,W3,Nigeria,N
Aerocondor,2B,Portugal,Y
Aires,4C, S.A.,Y
Aerolineas Argentinas,AR,Argentina,Y
Air Armenia,QN,Armenia,N
Alaska Airlines,AS,ALASKA,Y
Air Sinai,4D,Egypt,Y
Airstars,PL,Russia,N
Atlantic Southeast Airlines,EV,United States,Y
Astrakhan Airlines,OB,Russia,Y
Air Tanzania,TC,Tanzania,Y
Air Burkina,2J,Burkina Faso,Y
Aero-Tropics Air Services,HC,Australia,N
Airlines Of Tasmania,FO,Australia,Y
Air Saint Pierre,PJ,France,Y
Air Transport International,8C,United States,N
Austrian Airlines,OS,Austria,Y
Augsburg Airways,IQ,Germany,Y
AirBridge Cargo,RU,Russia,N
Abu Dhabi Amiri Flight,MO,United Arab Emirates,Y
Aeroflot-Nord,5N,Russia,Y
Aurigny Air Services,GR,United Kingdom,Y
Aus-Air,NO,Australia,N
Austral Lineas Aereas,AU,Argentina,Y
Australian Airlines,AO,Australia,N
Avianca - Aerovias Nacionales de Colombia,AV,AVIANCA,Y
Air Vanuatu,NF,Vanuatu,Y
Airlink Zambia,K8,Zambia,N
Air Bangladesh,B9,Bangladesh,Y
Air Mediterranee,DR,France,Y
Aeroline GmbH,7E,Germany,Y
Air Wales,6G,United Kingdom,Y
Air Caraïbes,TX,France,Y
Air India Express,IX,India,Y
Asian Express Airlines,HJ,Australia,N
Air Exel,XT,Netherlands,Y
AirAsia,AK,Malaysia,Y
Axis Airways,6V,France,N
Atlant-Soyuz Airlines,3G,Russia,Y
Alitalia,AZ,Italy,Y
Arcus-Air Logistic,ZE,Germany,N
Amaszonas,Z8,Bolivia,Y
Air Zimbabwe,UM,Zimbabwe,Y
Aserca Airlines,R7,Venezuela,Y
Rossiya-Russian Airlines,FV,Russia,Y
Aviaexpress,RX,Hungary,N
American Eagle Airlines,MQ,United States,Y
Airshop,FF,Netherlands,N
African Transport Trading and Investment Company,ML,Sudan,N
Air Ivoire,VU,Ivory Coast,Y
Air Botswana,BP,Botswana,Y
Air Foyle,GS,United Kingdom,Y
Air Tahiti,VT,French Polynesia,Y
Air Urga,3N,Ukraine,N
Air VIA,VL,Bulgaria,Y
Africa West,FK,Togo,Y
Avirex,G2,Gabon,N
ATRAN Cargo Airlines,V8,Russian Federation,Y
Avensa,VE,Venezuela,N
Avolar Aerolineas,V5,Mexico,N
Air China,CA,China,Y
Aero Condor Peru,Q6,Peru,Y
Arctic Circle Air Service,5F,United States,N
Air Corridor,QC,Mozambique,N
Air Central,NV,Japan,N
Air Chathams,CV,New Zealand,Y
Air Marshall Islands,CW,Marshall Islands,Y
Access Air,ZA,United States,Y
Air Algerie,AH,Algeria,Y
Adam Air,KI,Indonesia,Y
Astar Air Cargo,ER,United States,N
Antinea Airlines,HO,Algeria,N
Air Dolomiti,EN,Italy,Y
Aeroflot-Don,D9,Russia,Y
Air Madrid,NM,Spain,Y
Aero Airlines,EE,Estonia,N
Air City,4F,Germany,N
Aer Lingus,EI,Ireland,Y
Alpi Eagles,E8,Italy,N
Air S,KY,Air S,N
Air Fiji,PC,Fiji,N
Air Finland,OF,Finland,Y
Air Pacific,FJ,Fiji,Y
Atlantic Airways,RC,Faroe Islands,Y
Air Florida,QH,United States,Y
Air Iceland,NY,Iceland,Y
Air Philippines,2P,Philippines,Y
Air Georgian,ZX,Canada,N
Air Guinee Express,2U,Guinea,Y
Amber Air,0A,Lithuania,N
Air Georgia,DA,Georgia,N
Air Greenland,GL,Denmark,Y
Allegro,LL,Mexico,N
Atlas Air,5Y,United States,Y
Air Guyane,GG,French Guiana,Y
Air D'Ayiti,H9,Haiti,N
Air Comores International,GG,Comoros,N
Air Horizon,8C,Togo,N
Air Bagan,W9,Myanmar,Y
Atyrau Air Ways,IP,Kazakhstan,N
Air Canada Jazz,QK,Canada,Y
Atlasjet,KK,Turkey,Y
Air Koryo,JS,Democratic People's Republic of Korea,Y
Air Astana,KC,Kazakhstan,Y
Albanian Airlines,LV,Albania,Y
Alidaunia,D4,Italy,N
Alliance Air,CD,India,N
Aerolane,XL,Ecuador,Y
Air Alps Aviation,A6,Austria,N
Atlantis European Airways,TD,Armenia,Y
Air Luxor GB,L8,Guinea-Bissau,N
Air Luxor,LK,Portugal,Y
Air Mauritius,MK,Mauritius,Y
Air Madagascar,MD,Madagascar,Y
Air Moldova,9U,Moldova,Y
Aero Mongolia,M0,Mongolia,N
Air Plus Comet,A7,Spain,Y
Aeromexpress,QO,Mexico,N
Air Mauritanie,MR,Mauritania,N
Aeroland Airways,3S,Greece,N
Astair,8D,Russian Federation,Y
Albarka Air,F4,Nigeria,N
Aero Contractors,AJ,Nigeria,Y
Air Burundi,8Y,Burundi,N
Aeropelican Air Services,OT,Australia,Y
Air Paradise International,AD,Indonesia,N
Air Class Lineas Aereas,QD,Uruguay,N
African Safari Airways,QS,Kenya,N
Airbus France,4Y,France,N
Air Mobility Command,MC,United States,N
Aer Arann,RE,Ireland,Y
Air Austral,UU,France,Y
Asian Spirit,6K,Philippines,Y
Air Afrique,RK,Ivory Coast,Y
Airlinair,A5,France,Y
Aero Lanka,QL,Sri Lanka,Y
Armenian International Airways,MV,Armenia,N
Air Salone,20,Sierra Leone,Y
Armavia,U8,Armenia,Y
Aeromar,BQ,Dominican Republic,N
AeroRep,P5,Colombia,Y
Aero-Service,BF,Republic of the Congo,Y
Aerosur,5L,Bolivia,Y
Air Santo Domingo,EX,Dominican Republic,N
Aero California,JR,Mexico,N
Avient Aviation,Z3,Zimbabwe,Y
Air Service,M3,Macedonia,N
Air Slovakia,GM,Slovakia,N
Aircompany Yakutia,R3,Russia,Y
Aeromar,VW,Mexico,Y
Air Turks and Caicos,JY,Turks and Caicos Islands,N
Arkefly,OR,Netherlands,Y
Airlines PNG,CG,Papua New Guinea,Y
Air Cal,TY,France,N
AirTran Airways,FL,United States,Y
Air Transat,TS,Canada,Y
Avialeasing Aviation Company,EC,Uzbekistan,Y
Tyrolean Airways,VO,Austria,Y
Aero-Charter Ukraine,DW,Ukraine,N
Air Ukraine,6U,Ukraine,N
Aerolineas Galapagos (Aerogal),2K,Ecuador,Y
Alrosa Mirny Air Enterprise,6R,Russia,Y
Baker Aviation,8Q,United States,N
British Airways,BA,United Kingdom,Y
Biman Bangladesh Airlines,BG,Bangladesh,Y
Bluebird Cargo,BF,Iceland,N
BACH Flugbetriebsges,B4,Austria,N
Blue Dart Aviation,BZ,India,N
B&H Airlines,JA,Bosnia and Herzegovina,N
Buffalo Airways,J4,Canada,N
Benin Golf Air,A8,Benin,N
Belair Airlines,4T,Switzerland,Y
Bahamasair,UP,Bahamas,Y
Bringer Air Cargo Taxi Aereo,E6,Brazil,N
BA Connect,TH,United Kingdom,N
British International Helicopters,BS,United Kingdom,Y
Bankair,B4,United States,N
Bangkok Airways,PG,Thailand,Y
Blue1,KF,Finland,Y
Bearskin Lake Air Service,JV,Canada,Y
Bellview Airlines,B3,Nigeria,Y
bmi,BD,United Kingdom,Y
bmibaby,WW,United Kingdom,Y
Bemidji Airlines,CH,United States,Y
Bismillah Airlines,5Z,Bangladesh,N
Bouraq Indonesia Airlines,BO,Indonesia,N
Blue Panorama Airlines,BV,Italy,Y
BRA-Transportes Aereos,7R,Brazil,N
Bering Air,8E,United States,Y
Belavia Belarusian Airlines,B2,Belarus,Y
Bravo Air Congo,K6,Democratic Republic of the Congo,N
Braniff International Airways,BN,United States,N
Big Sky Airlines,GQ,United States,N
BAL Bashkirian Airlines,V9,Russia,N
Metro Batavia,7P,Indonesia,Y
Berjaya Air,J8,Malaysia,Y
Blue Wings,QW,Germany,Y
Bayu Indonesia Air,BM,Indonesia,N
Brit Air,DB,France,Y
Boston-Maine Airways,E9,United States,N
Brussels Airlines,SN,Belgium,Y
Binter Canarias,NT,Spain,Y
Blue Air,0B,Romania,Y
British Mediterranean Airways,KJ,United Kingdom,Y
Bulgaria Air,FB,Bulgaria,Y
Barents AirLink,8N,Sweden,Y
CAL Cargo Air Lines,5C,Israel,Y
CHC Airways,AW,Netherlands,N
Calima Aviacion,XG,Spain,Y
Calm Air,MO,Canada,N
Camai Air,R9,United States,N
Cameroon Airlines,UY,Cameroon,N
CanJet,C6,Canada,N
Canadian Airlines,CP,Canada,Y
Canadian North,5T,Canada,Y
Canadian Western Airlines,W2,Canada,N
Cape Air,9K,United States,Y
Capital Cargo International Airlines,PT,United States,N
Cargo 360,GG,United States,N
Cargoitalia,2G,Italy,N
Cargojet Airways,W8,Canada,N
Cargolux,CV,Luxembourg,N
Caribbean Airlines,BW,Trinidad and Tobago,Y
Caribbean Star Airlines,8B,Antigua and Barbuda,N
Carpatair,V3,Romania,Y
Caspian Airlines,RV,Iran,Y
Cathay Pacific,CX,Hong Kong SAR of China,Y
Cayman Airways,KX,Cayman Islands,Y
Cebu Pacific,5J,Philippines,Y
Centavia,7N,Serbia,N
Centralwings,C0,Poland,Y
Centre-Avia,J7,Russia,N
Centurion Air Cargo,WE,United States,N
Chalk's Ocean Airways,OP,United States,N
Champion Air,MG,United States,N
Changan Airlines,2Z,China,N
Chari Aviation Services,S8,Chad,N
Chautauqua Airlines,RP,United States,Y
Chicago Express,C8,United States,N
China Airlines,CI,Taiwan,Y
China Cargo Airlines,CK,China,N
China Eastern Airlines,MU,China,Y
China Northern Airlines,CJ,China,N
China Northwest Airlines,WH,China,N
China Postal Airlines,8Y,China,N
China Southern Airlines,CZ,China,Y
China United Airlines,HR,China,Y
China Xinhua Airlines,XO,China,N
Yunnan Airlines,3Q,China,Y
Chitaavia,X7,Russia,N
Cielos Airlines,A2,Peru,N
Cimber Air,QI,Denmark,Y
Cirrus Airlines,C9,Germany,Y
City Airline,CF,Sweden,Y
City Connexion Airlines,G3,Burundi,Y
CityJet,WX,Ireland,Y
BA CityFlyer,CJ,United Kingdom,Y
Civil Air Transport,CT,Taiwan,N
Club Air,6P,Italy,N
Coast Air,BX,Norway,N
Coastal Air,DQ,United States,Y
Colgan Air,9L,United States,Y
Comair,OH,United States,Y
Comair,MN,South Africa,Y
CommutAir,C5,United States,Y
Comores Airlines,KR,Comoros,Y
Compania Mexicargo,GJ,Mexico,N
Compass Airlines,CP,United States,Y
Condor Flugdienst,DE,Germany,Y
Consorcio Aviaxsa,6A,Mexico,Y
Contact Air,C3,Germany,Y
Continental Airlines,CO,United States,Y
Continental Airways,PC,Russia,N
Continental Express,CO,United States,Y
Continental Micronesia,CS,United States,Y
Conviasa,V0,Venezuela,Y
Copa Airlines,CM,Panama,Y
Corsairfly,SS,France,Y
Corse-Mediterranee,XK,France,Y
Cosmic Air,F5,Nepal,N
Croatia Airlines,OU,Croatia,Y
Crossair Europe,QE,Switzerland,N
Cubana de Aviación,CU,Cuba,Y
Cyprus Airways,CY,Cyprus,Y
Cyprus Turkish Airlines,YK,Turkey,Y
Czech Airlines,OK,Czech Republic,Y
DAS Air Cargo,WD,Uganda,N
DAT Danish Air Transport,DX,Denmark,Y
DHL International,ES,Bahrain,N
DHL de Guatemala,L3,Guatemala,N
Daallo Airlines,D3,Djibouti,Y
Dagestan Airlines,N2,Russia,N
Dalavia,H8,Russia,Y
Darwin Airline,0D,Switzerland,Y
Dauair,D5,Germany,N
Delta Air Lines,DL,United States,Y
Deutsche Bahn,2A,Germany,Y
Deutsche Rettungsflugwacht,1I,Germany,N
Dinar,D7,Argentina,N
Dirgantara Air Service,AW,Indonesia,N
Discovery Airways,DH,United States,N
Djibouti Airlines,D8,Djibouti,Y
Dominicana de Aviaci,DO,Dominican Republic,Y
Domodedovo Airlines,E3,Russia,Y
DonbassAero,5D,Ukraine,Y
Dragonair,KA,DRAGON,Y
Druk Air,KB,Bhutan,Y
dba,DI,Germany,Y
Electronic Data Systems,1C,Switzerland,N
EUjet,VE,Ireland,N
EVA Air,BR,Taiwan,Y
Eagle Air,H7,Uganda,Y
East African,QU,Uganda,Y
East African Safari Air,S9,Kenya,N
Eastern Airways,T3,United Kingdom,Y
Eastland Air,DK,Australia,Y
Eastwind Airlines,W9,United States,N
Edelweiss Air,WK,Switzerland,Y
Egyptair,MS,Egypt,Y
El Al Israel Airlines,LY,Israel,Y
El-Buraq Air Transport,UZ,Libya,Y
Emirates,EK,United Arab Emirates,Y
Empire Airlines,EM,United States,N
Empresa Ecuatoriana De Aviacion,EU,Ecuador,Y
Enkor JSC,G8,Russia]],N
Eos Airlines,E0,United States,N
Eritrean Airlines,B8,Eritrea,Y
Estafeta Carga Aerea,E7,Mexico,N
Estonian Air,OV,Estonia,Y
Ethiopian Airlines,ET,Ethiopia,Y
Etihad Airways,EY,United Arab Emirates,Y
Euro Exec Express,RZ,Sweden,Y
Eurocypria Airlines,UI,Cyprus,Y
Eurofly Service,GJ,Italy,Y
Eurolot,K2,Poland,Y
Euromanx Airways,3W,Austria,N
European Air Express,EA,Germany,Y
European Air Transport,QY,Belgium,N
European Aviation Air Charter,E7,United Kingdom,N
Eurowings,EW,Germany,Y
Evergreen International Airlines,EZ,United States,Y
Excel Airways,JN,United Kingdom,Y
Execair Aviation,MB,Canada,N
Executive Airlines,OW,United States,N
Expo Aviation,8D,Sri Lanka,N
Express One International,EO,United States,Y
ExpressJet,XE,United States,Y
easyJet,U2,United Kingdom,Y
Falcon Aviation,IH,Sweden,N
Far Eastern Air Transport,EF,Taiwan,Y
Faroejet,F6,Faroe Islands,N
Faso Airways,F3,Burkina Faso,N
Federal Express,FX,United States,N
Fika Salaama Airlines,N8,Uganda,N
Finalair Congo,4S,Republic of the Congo,N
Finnair,AY,Finland,Y
Finncomm Airlines,FC,Finland,Y
Firefly,FY,Malaysia,Y
First Air,7F,Canada,Y
First Choice Airways,DP,United Kingdom,Y
Fischer Air,8F,Czech Republic,N
Flightline,B5,United Kingdom,Y
Florida Coastal Airlines,PA,United States,N
Florida West International Airways,RF,United States,Y
Fly Air,F2,Turkey,N
Fly Me Sweden,SH,Sweden,N
AirAsia X,D7,Malaysia,Y
FlyLal,TE,Lithuania,Y
FlyNordic,LF,Sweden,Y
Flybaboo,F7,Switzerland,Y
Flybe,BE,United Kingdom,Y
Flyglobespan,B4,United Kingdom,Y
Formosa Airlines,VY,Taiwan,Y
Forward Air International Airlines,BN,United States,N
Four Star Aviation / Four Star Cargo,HK,United States,N
Freedom Air,FP,United States,Y
Frontier Airlines,F9,United States,Y
Frontier Flying Service,2F,United States,Y
Futura International Airways,FH,Spain,N
GB Airways,GT,United Kingdom,Y
Galaxy Air,7O,Kyrgyzstan,N
Galileo International,1G,United States,N
Gambia International Airlines,GC,Gambia,N
Gandalf Airlines,G7,Italy,N
Garuda Indonesia,GA,Indonesia,Y
Gazpromavia,4G,Russia,Y
Gemini Air Cargo,GR,United States,N
Georgian Airways,A9,Georgia,Y
Georgian National Airlines,QB,Georgia,Y
Germania,ST,Germany,Y
Germanwings,4U,Germany,Y
Gestair,GP,Spain,N
Ghana International Airlines,G0,Ghana,Y
Go Air,G8,India,Y
Go One Airways,GK,United Kingdom,N
GoJet Airlines,G7,United States,Y
Gol Transportes Aéreos,G3,Brazil,Y
Golden Air,DC,Sweden,Y
Gorkha Airlines,G1,Nepal,N
Grant Aviation,GS,United States,N
Great Lakes Airlines,ZK,United States,Y
Great Wall Airlines,IJ,China,N
Grupo TACA,TA,Costa Rica,Y
Guine Bissaur Airlines,G6,Guinea-Bissau,N
Guinee Airlines,J9,Guinea,N
Gujarat Airways,G8,India,N
Gulf Air Bahrain,GF,Bahrain,Y
Hageland Aviation Services,H6,United States,Y
Hahn Air,HR,Germany,N
Hainan Airlines,HU,China,Y
Hainan Phoenix Information Systems,1R,China,N
Haiti Ambassador Airlines,2T,Haiti,Y
Hamburg International,4R,Germany,Y
TUIfly,X3,Germany,Y
Hapagfly,HF,Germany,Y
Harbor Airlines,HB,United States,N
Harmony Airways,HQ,Canada,N
Hawaiian Airlines,HA,United States,Y
Hawaiian Pacific Airlines,HP,United States,N
Hawkair,BH,Canada,Y
Heavylift Cargo Airlines,HN,Australia,N
Heli France,8H,France,Y
Helijet,JB,Canada,Y
Helios Airways,ZU,Cyprus,N
Hellas Jet,T4,Greece,Y
Hello,HW,Switzerland,Y
Helvetic Airways,2L,Switzerland,Y
Hemus Air,DU,Bulgaria,N
Hewa Bora Airways,EO,Democratic Republic of the Congo,N
Hex'Air,UD,France,Y
Hi Fly,5K,Portugal,N
Hokkaido International Airlines,HD,Japan,Y
Hola Airlines,H5,Spain,N
Hong Kong Airlines,HX,Hong Kong SAR of China,Y
Hong Kong Express Airways,UO,Hong Kong SAR of China,Y
Hope Air,HH,Canada,N
Horizon Air,QX,United States,Y
Horizon Airlines,BN,Australia,Y
Héli Sécurité Helicopter Airlines,H4,France,N
IBC Airways,II,United States,N
ICAR Airlines,C3,Ukraine,N
INFINI Travel Information,1F,Japan,N
ITA Software,1U,United States,N
Iberia Airlines,IB,Spain,Y
Iberworld,TY,Spain,Y
Ibex Airlines,FW,Japan,Y
Icelandair,FI,Iceland,Y
Imair Airlines,IK,Azerbaijan,Y
Independence Air,DH,United States,N
IndiGo Airlines,6E,India,Y
Indian Airlines,IC,India,Y
Indigo,I9,United States,Y
Indonesia AirAsia,QZ,Indonesia,Y
Indonesian Airlines,IO,Indonesia,Y
InteliJet Airways,IJ,Colombia,N
Inter Islands Airlines,H4,Cape Verde,N
Interair South Africa,D6,South Africa,Y
Interavia Airlines,ZA,Russia,Y
Intercontinental de Aviaci,RS,Colombia,N
Interlink Airlines,ID,South Africa,Y
International Business Air,6I,Sweden,N
Intersky,3L,Austria,Y
Interstate Airline,I4,Netherlands,N
Iran Air,IR,Iran,Y
Iran Aseman Airlines,EP,Iran,Y
Iraqi Airways,IA,Iraq,Y
Island Airlines,IS,United States,Y
Island Express,2S,United States,N
Cargo Plus Aviation,8L,United Arab Emirates,Y
Islands Nationair,CN,Papua New Guinea,N
Islas Airways,IF,Spain,Y
Islena De Inversiones,WC,Honduras,Y
Israir,6H,Israel,Y
Itali Airlines,9X,Italy,N
Itek Air,GI,Kyrgyzstan,Y
Izair,H9,Turkey,N
JAL Express,JC,Japan,Y
JALways,JO,Japan,Y
JSC Transport Automated Information Systems,1M,Russia,N
Japan Airlines,JL,Japan,Y
Japan Airlines Domestic,JL,Japan,Y
Japan Asia Airways,EG,Japan,Y
Japan Transocean Air,NU,Japan,Y
Jat Airways,JU,Serbia,N
Jatayu Airlines,VJ,Indonesia,N
Jazeera Airways,J9,Kuwait,Y
Jeju Air,7C,Republic of Korea,Y
Jet Airways,9W,India,Y
Jet Airways,QJ,United States,Y
Jetclub,0J,Switzerland,N
Jetstar Asia Airways,3K,Singapore,Y
Jet2.com,LS,United Kingdom,Y
Jet4You,8J,Morocco,Y
JetBlue Airways,B6,United States,Y
Jetairfly,JF,Belgium,Y
Jetclub,0J,Switzerland,N
JetsGo,SG,Canada,N
Jetstar Airways,JQ,Australia,Y
Jett8 Airlines Cargo,JX,Singapore,N
Jetx Airlines,GX,Iceland,N
Jordan Aviation,R5,Jordan,N
Juneyao Airlines,HO,China,Y
KD Avia,KD,Russia,Y
KLM Cityhopper,WA,Netherlands,Y
KLM Royal Dutch Airlines,KL,Netherlands,Y
Kabo Air,N2,Nigeria,N
Kalitta Air,K4,United States,N
Kam Air,RQ,Afghanistan,Y
Kampuchea Airlines,E2,Cambodia,N
Karat,V2,Russia,N
Kavminvodyavia,KV,Russia,Y
Kenmore Air,M5,United States,Y
Kenya Airways,KQ,Kenya,Y
Keystone Air Services,BZ,Canada,N
Kingfisher Airlines,IT,India,Y
Kish Air,Y9,Iran,Y
Kiwi International Air Lines,KP,United States,N
Kogalymavia Air Company,7K,Russia,Y
Komiinteravia,8J,Russia,N
Korean Air,KE,Republic of Korea,Y
Krasnojarsky Airlines,7B,Russia,Y
Krylo Airlines,K9,Russia,N
Kuban Airlines,GW,Russia,Y
Kunpeng Airlines,VD,China,N
Kuwait Airways,KU,Kuwait,Y
Kuzu Airlines Cargo,GO,Turkey,Y
Kyrgyz Airlines,N5,Kyrgyzstan,N
Kyrgyzstan,QH,Kyrgyzstan,N
Kyrgyzstan Airlines,R8,Kyrgyzstan,N
Kibris T,KY,Turkey,N
L.A.B. Flying Service,JF,United States,N
LACSA,LR,Costa Rica,Y
LAI - Linea Aerea IAACA,KG,Venezuela,N
LAN Airlines,LA,Chile,Y
LAN Argentina,4M,Argentina,Y
LAN Express,LU,Chile,Y
LAN Peru,LP,Peru,Y
LOT Polish Airlines,LO,Poland,Y
LTE International Airways,XO,Spain,Y
LTU Austria,L3,Austria,Y
LTU International,LT,Germany,N
Lagun Air,N6,Spain,N
Lankair,IK,Sri Lanka,N
Lao Airlines,QV,Lao Peoples Democratic Republic,Y
Laoag International Airlines,L7,Philippines,N
Lauda Air,NG,Austria,Y
Lebanese Air Transport,LQ,Lebanon,N
Leeward Islands Air Transport,LI,Antigua and Barbuda,Y
Libyan Arab Airlines,LN,Libya,Y
Linea Aerea SAPSA,L7,Chile,N
Linea Aerea de Servicio Ejecutivo Regional,8z,Venezuela,N
Linea Turistica Aerotuy,LD,Venezuela,N
Lineas Aereas Azteca,ZE,Mexico,N
Linhas A,LM,Mozambique,Y
Lion Mentari Airlines,JT,Indonesia,Y
Livingston,LM,Italy,N
Lloyd Aereo Boliviano,LB,Bolivia,N
Luftfahrtgesellschaft Walter,HE,Germany,Y
Lufthansa,LH,Germany,Y
Lufthansa Cargo,LH,Germany,Y
Lufthansa CityLine,CL,Germany,Y
Lufthansa Systems,L1,Germany,N
Lufttaxi Fluggesellschaft,DV,Germany,N
Lufttransport,L5,Norway,Y
Luxair,LG,Luxembourg,Y
Lviv Airlines,5V,Ukraine,N
Lynden Air Cargo,L2,United States,N
L,MJ,Argentina,Y
MasAir,M7,Mexico,Y
MAT Macedonian Airlines,IN,Macedonia,Y
MIAT Mongolian Airlines,OM,Mongolia,Y
MNG Airlines,MB,Turkey,Y
Macair Airlines,CC,Australia,Y
Maersk,DM,Denmark,Y
Mahan Air,W5,Iran,Y
Mahfooz Aviation,M2,Gambia,N
Malaysia Airlines,MH,Malaysia,Y
Malmö Aviation,TF,Sweden,Y
Malta Air Charter,R5,Malta,Y
Malév,MA,Hungary,Y
Mandala Airlines,RI,Indonesia,Y
Mandarin Airlines,AE,Taiwan,Y
Mango,JE,South Africa,Y
Mars RK,6V,Ukraine,N
Marsland Aviation,M7,Sudan,N
Martinair,MP,Netherlands,Y
Mastertop Linhas Aereas,Q4,Brazil,N
Mavial Magadan Airlines,H5,Russia,N
Maxair,8M,Sweden,Y
Maxjet Airways,MY,United States,N
Maya Island Air,MW,Belize,Y
Menajet,IM,Lebanon,N
Meridiana,IG,Italy,Y
Merpati Nusantara Airlines,MZ,Indonesia,Y
Mesa Airlines,YV,United States,Y
Mesaba Airlines,XJ,United States,Y
Mexicana de Aviaci,MX,Mexico,Y
Miami Air International,GL,United States,N
Middle East Airlines,ME,Lebanon,Y
Midway Airlines,JI,United States,Y
Midwest Airlines,YX,United States,Y
Midwest Airlines (Egypt),MY,Egypt,Y
Moldavian Airlines,2M,Moldova,Y
Monarch Airlines,ZB,United Kingdom,Y
Myway Airlines,8I,Italy,Y
Montenegro Airlines,YM,Montenegro,Y
Moskovia Airlines,3R,Russia,Y
Motor Sich,M9,Ukraine,Y
Mount Cook Airlines,NM,New Zealand,N
Mountain Air Company,N4,Sierra Leone,N
MyTravel Airways,VZ,United Kingdom,Y
Myanma Airways,UB,Myanmar,Y
Myanmar Airways International,8M,Myanmar,Y
Nantucket Airlines,DV,United States,N
Nas Air,P9,Mali,N
Nasair,UE,Eritrea,Y
National Airlines,N4,Chile,N
National Airlines,N7,United States,N
National Airways Cameroon,9O,Cameroon,N
National Jet Systems,NC,Australia,Y
Nationwide Airlines,CE,South Africa,Y
